Sample ID,wt %N,wt %C,Date,,
78 Hahn March23 Plant,1.74,44.23,4/9/2023,,
79 Hahn March23 Plant,1.26,44.06,4/9/2023,,
80 Hahn March23 Plant,1.55,45.18,4/9/2023,,
81 Hahn March23 Plant,1.10,43.30,4/9/2023,,
82 Hahn March23 Plant,0.93,44.26,4/9/2023,,
83 Hahn March23 Plant,1.06,44.88,4/9/2023,,
84 Hahn March23 Plant,1.14,44.77,4/10/2023,,
85 Hahn March23 Plant,1.17,43.71,4/10/2023,,
86 Hahn March23 Plant,1.20,43.41,4/10/2023,,
87 Hahn March23 Plant,1.33,43.07,4/10/2023,,
88 Hahn March23 Plant,1.72,42.87,4/10/2023,,
89 Hahn March23 Plant,1.28,43.64,4/10/2023,,
90 Hahn March23 Plant,1.55,43.75,4/10/2023,,
91 Hahn March23 Plant,1.25,46.28,4/10/2023,,
92 Hahn March23 Plant,1.36,46.07,4/10/2023,,
93 Hahn March23 Plant,1.10,46.39,4/10/2023,,
94 Hahn March23 Plant,1.14,46.04,4/10/2023,,
95 Hahn March23 Plant,1.33,46.62,4/10/2023,,
96 Hahn March23 Plant,1.32,45.77,4/10/2023,,
97 Hahn March23 Plant,0.86,45.99,4/10/2023,,
98 Hahn March23 Plant,0.94,46.75,4/10/2023,,
99 Hahn March23 Plant,0.97,44.66,4/10/2023,,
100 Hahn March23 Plant,1.28,45.89,4/10/2023,,
101 Hahn March23 Plant,1.42,43.26,4/10/2023,,
102 Hahn March23 Plant,1.51,43.95,4/10/2023,,
103 Hahn March23 Plant,1.16,43.35,4/10/2023,,
104 Hahn March23 Plant,1.32,44.32,4/10/2023,,
105 Hahn March23 Plant,1.56,44.04,4/10/2023,,
106 Hahn March23 Plant,1.34,44.44,4/10/2023,,
107 Hahn March23 Plant,0.93,44.45,4/10/2023,,
108 Hahn March23 Plant,1.16,44.85,4/10/2023,,
109 Hahn March23 Plant,0.91,44.16,4/10/2023,,
110 Hahn March23 Plant,1.03,44.18,4/10/2023,,
111 Hahn March23 Plant,0.93,45.53,4/10/2023,,
112 Hahn March23 Plant,1.37,46.89,4/10/2023,,
113 Hahn March23 Plant,1.50,43.63,4/10/2023,,
114 Hahn March23 Plant,1.09,46.04,4/10/2023,,
115 Hahn March23 Plant,1.02,47.20,4/10/2023,,
116 Hahn March23 Plant,1.24,48.67,4/10/2023,,
117 Hahn March23 Plant,1.01,46.76,4/10/2023,,
118 Hahn March23 Plant,0.99,45.78,4/10/2023,,
119 Hahn March23 Plant,1.11,45.52,4/10/2023,,
120 Hahn March23 Plant,1.25,45.46,4/10/2023,,
121 Hahn March23 Plant,0.95,44.13,4/10/2023,,
122 Hahn March23 Plant,1.13,43.60,4/10/2023,,
123 Hahn March23 Plant,0.95,44.01,4/10/2023,,
124 Hahn March23 Plant,0.99,43.68,4/10/2023,,
125 Hahn March23 Plant,1.27,43.42,4/11/2023,,
126 Hahn March23 Plant,1.26,43.58,4/11/2023,,
127 Hahn March23 Plant,1.40,43.66,4/11/2023,,
128 Hahn March23 Plant,1.30,43.78,4/11/2023,,
129 Hahn March23 Plant,1.10,43.09,4/11/2023,,
130 Hahn March23 Plant,0.98,42.78,4/11/2023,,
131 Hahn March23 Plant,1.26,43.42,4/11/2023,,
132 Hahn March23 Plant,1.32,42.26,4/11/2023,,
133 Hahn March23 Plant,1.50,42.38,4/11/2023,,
134 Hahn March23 Plant,1.27,43.26,4/11/2023,,
135 Hahn March23 Plant,1.13,42.59,4/11/2023,,
136 Hahn March23 Plant,1.41,43.41,4/11/2023,,
137 Hahn March23 Plant,1.30,41.87,4/11/2023,,
138 Hahn March23 Plant,1.42,42.43,4/11/2023,,
139 Hahn March23 Plant,1.72,41.98,4/11/2023,,
140 Hahn March23 Plant,1.46,41.55,4/11/2023,,
141 Hahn March23 Plant,2.58,46.42,4/11/2023,,
142 Hahn March23 Plant,2.66,47.43,4/11/2023,,
143 Hahn March23 Plant,2.35,47.51,4/11/2023,,
144 Hahn March23 Plant,2.73,47.93,4/11/2023,,
145 Hahn March23 Plant,2.46,46.72,4/11/2023,,
146 Hahn March23 Plant,2.76,47.98,4/11/2023,,
147 Hahn March23 Plant,3.04,46.77,4/11/2023,,
148 Hahn March23 Plant,3.03,46.82,4/11/2023,,
149 Hahn March23 Plant,2.91,47.63,4/11/2023,,
150 Hahn March23 Plant,2.68,47.43,4/11/2023,,
151 Hahn March23 Plant,1.16,47.67,4/11/2023,,
152 Hahn March23 Plant,0.94,47.57,4/11/2023,,
153 Hahn March23 Plant,1.09,48.15,4/11/2023,,
154 Hahn March23 Plant,1.22,47.85,4/11/2023,,
155 Hahn March23 Plant,1.03,48.38,4/11/2023,,
156 Hahn March23 Plant,0.95,47.22,4/11/2023,,
157 Hahn March23 Plant,1.06,48.12,4/11/2023,,
158 Hahn March23 Plant,0.98,47.94,4/11/2023,,
159 Hahn March23 Plant,0.94,47.24,4/11/2023,,
160 Hahn March23 Plant,1.11,47.97,4/11/2023,,
