DATE,GRASSHOPPER_SPECIES,SEX,ID,MESOCOSM,ARBE,SCSC,SOSE,AMAR,CRAR,ERTO,ERAR,PIGR,SOOD,STSY,MOPU,CHNI,LEHI,TEVI,QULA,VAMY,FRASS_WT
7-Sep-22,DIVI,M,2,20,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012
13-Sep-22,ORPE,F,5,1,0,1,0.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.0261
13-Sep-22,ORPE,M,3,2,0,2.1,5.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0321
13-Sep-22,ORPE,F,6,3,0,0.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188
13-Sep-22,ORPE,M,4,4,0.1,0.75,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.0173
13-Sep-22,ORPE,M,5,5,0,0.75,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094
13-Sep-22,MERO,M,6,6,0,0,0.6,1.85,0,0,0,0,0,0,3.85,0,0.65,0,0,0,0.016
13-Sep-22,SCAM,M,4,7,0,0.45,1.3,3,0,0,0.5,0,0,12.75,0,22,0.4,0.35,0,0.3,0.1493
13-Sep-22,SCAM,M,5,8,0.55,2,3.3,0.15,0,0.15,0,0.75,0,0,6.1,24,0.25,7.5,2.8,5,0.1588
13-Sep-22,SCAM,M,6,9,0,0,0,3.5,0,0,0,0,0,4,0,4.75,2.1,0.85,1.45,0.2,0.0624
13-Sep-22,SCAM,F,1,10,0,1.3,0,0.25,0,2.25,0,0,0,0,0,32,0,5.5,0,0,0.0921
13-Sep-22,SCAM,F,2,11,0.65,0,1.2,0,0.25,3.5,3,2,0,0,0.3,35,0.05,1,0,0.75,0.2424
13-Sep-22,SCAM,M,7,12,0,5.75,1.25,0,0,0,0,0,0,2.5,0,17.25,0,0,0,1.1,0.0723
13-Sep-22,DIVI,F,1,13,0.1,8.5,1.2,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.0635
13-Sep-22,DIVI,F,2,14,0.46,0.33,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313
13-Sep-22,DIVI,M,5,16,0.6,3.75,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.0304
13-Sep-22,DIVI,U,1,17,0.1,4.75,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256
14-Sep-22,DIVI,F,3,18,0.35,3.5,3.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0.045
14-Sep-22,DIVI,F,4,19,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083
11-Oct-22,SCAM,F,3,1,0,0.85,0,0.2,0,2.5,4,0.5,0,0,0,20,20,0,0,0.15,0.1237
11-Oct-22,SCAM,F,4,2,0,0.5,0,1.3,0,1.75,0.1,0,0,15,0,15,6.15,2.85,0,0.2,0.1299
11-Oct-22,SCAM,M,8,3,0,0.2,0.2,2.5,0,1,0,0.65,0,0,5,12.5,4,0,0,0,0.0699
11-Oct-22,APSP,F,9,5,0,0,0,4,1,0,0,5,0,0,5,0,0.1,0,0,0,0.0794
11-Oct-22,APSP,F,10,6,0,0,0,4,0,0,0,0,0,0.65,0,0,0,0,0,0.5,0.0166
11-Oct-22,DIVI,F,5,7,1.5,1.75,4.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0667
11-Oct-22,ORPE,M,6,8,0,3.6,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126
11-Oct-22,SPMA,F,9,10,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.0134
